,title,artist,positive,negative,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,unknown,total_number_of_words,emotional_impact_words,neutral_words,norm_positive,norm_negative,norm_anger,norm_anticipation,norm_disgust,norm_fear,norm_joy,norm_sadness,norm_surprise,norm_trust,norm_unknown,norm_total_number_of_words,norm_emotional_impact_words,norm_neutral_words,year
b150,elusive butterfly,bob lind,2,9,1,3,0,5,1,3,4,0,54,110,11,45,1.818181818,8.181818182,0.909090909,2.727272727,0,4.545454545,0.909090909,2.727272727,3.636363636,0,49.09090909,100,10,40.90909091,1966
b151,i am a rock,simon  garfunkel,19,5,3,3,2,7,8,7,2,9,28,78,24,26,24.35897436,6.41025641,3.846153846,3.846153846,2.564102564,8.974358974,10.25641026,8.974358974,2.564102564,11.53846154,35.8974359,100,30.76923077,33.33333333,1966
b152,crying time,ray charles,8,8,0,15,0,1,8,8,3,5,47,86,16,23,9.302325581,9.302325581,0,17.44186047,0,1.162790698,9.302325581,9.302325581,3.488372093,5.813953488,54.65116279,100,18.60465116,26.74418605,1966
b153,secret agent man,johnny rivers,4,5,1,5,1,4,2,2,2,7,57,116,9,50,3.448275862,4.310344828,0.862068966,4.310344828,0.862068966,3.448275862,1.724137931,1.724137931,1.724137931,6.034482759,49.13793103,100,7.75862069,43.10344828,1966
b154,the sound of silence,simon  garfunkel,9,14,6,7,3,6,4,3,1,6,48,118,23,47,7.627118644,11.86440678,5.084745763,5.93220339,2.542372881,5.084745763,3.389830508,2.542372881,0.847457627,5.084745763,40.6779661,100,19.49152542,39.83050847,1966
b155,lady godiva,peter and gordon,9,2,0,8,0,1,5,2,0,6,55,104,11,38,8.653846154,1.923076923,0,7.692307692,0,0.961538462,4.807692308,1.923076923,0,5.769230769,52.88461538,100,10.57692308,36.53846154,1966
b156,homeward bound,simon  garfunkel,12,17,7,4,5,5,11,12,1,4,44,105,29,32,11.42857143,16.19047619,6.666666667,3.80952381,4.761904762,4.761904762,10.47619048,11.42857143,0.952380952,3.80952381,41.9047619,100,27.61904762,30.47619048,1966
b157,did you ever have to make up your mind,the lovin spoonful,8,3,3,5,3,2,6,3,6,6,43,84,11,30,9.523809524,3.571428571,3.571428571,5.952380952,3.571428571,2.380952381,7.142857143,3.571428571,7.142857143,7.142857143,51.19047619,100,13.0952381,35.71428571,1966
b158,barefootin,robert parker,2,4,2,3,1,1,2,2,1,2,57,91,6,28,2.197802198,4.395604396,2.197802198,3.296703297,1.098901099,1.098901099,2.197802198,2.197802198,1.098901099,2.197802198,62.63736264,100,6.593406593,30.76923077,1966
b159,uptight everythings alright,stevie wonder,20,1,3,6,1,1,18,1,5,8,83,147,21,43,13.60544218,0.680272109,2.040816327,4.081632653,0.680272109,0.680272109,12.24489796,0.680272109,3.401360544,5.442176871,56.46258503,100,14.28571429,29.25170068,1966
