,title,artist,positive,negative,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,unknown,total_number_of_words,emotional_impact_words,neutral_words,norm_positive,norm_negative,norm_anger,norm_anticipation,norm_disgust,norm_fear,norm_joy,norm_sadness,norm_surprise,norm_trust,norm_unknown,norm_total_number_of_words,norm_emotional_impact_words,norm_neutral_words,year
b1614,queen of hearts,juice newton,9,19,13,2,11,5,5,9,4,2,83,148,28,37,6.081081081,12.83783784,8.783783784,1.351351351,7.432432432,3.378378378,3.378378378,6.081081081,2.702702703,1.351351351,56.08108108,100,18.91891892,25,1981
b1615,rapture,blondie,10,14,5,4,1,7,4,5,5,5,93,196,24,79,5.102040816,7.142857143,2.551020408,2.040816327,0.510204082,3.571428571,2.040816327,2.551020408,2.551020408,2.551020408,47.44897959,100,12.24489796,40.30612245,1981
b1616,a woman needs love just like you do,raydio,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,1981
b1617,the tide is high,blondie,2,7,5,3,3,4,0,5,0,0,70,123,9,44,1.62601626,5.691056911,4.06504065,2.43902439,2.43902439,3.25203252,0,4.06504065,0,0,56.91056911,100,7.317073171,35.77235772,1981
b1618,just the two of us,grover washington jr  bill withers,15,6,1,10,1,0,8,3,3,5,50,95,21,24,15.78947368,6.315789474,1.052631579,10.52631579,1.052631579,0,8.421052632,3.157894737,3.157894737,5.263157895,52.63157895,100,22.10526316,25.26315789,1981
b1619,slow hand,the pointer sisters,16,4,2,11,1,1,14,2,2,16,75,163,20,68,9.81595092,2.45398773,1.226993865,6.748466258,0.613496933,0.613496933,8.588957055,1.226993865,1.226993865,9.81595092,46.01226994,100,12.26993865,41.71779141,1981
b1620,i love you,climax blues band,10,1,1,5,1,1,9,1,3,5,66,105,11,28,9.523809524,0.952380952,0.952380952,4.761904762,0.952380952,0.952380952,8.571428571,0.952380952,2.857142857,4.761904762,62.85714286,100,10.47619048,26.66666667,1981
b1621,woman,john lennon,7,4,1,2,1,3,6,4,1,2,69,98,11,18,7.142857143,4.081632653,1.020408163,2.040816327,1.020408163,3.06122449,6.12244898,4.081632653,1.020408163,2.040816327,70.40816327,100,11.2244898,18.36734694,1981
b1622,sukiyaki,a taste of honey,13,1,1,3,2,1,10,5,3,3,52,83,14,17,15.6626506,1.204819277,1.204819277,3.614457831,2.409638554,1.204819277,12.04819277,6.024096386,3.614457831,3.614457831,62.65060241,100,16.86746988,20.48192771,1981
b1623,the winner takes it all,abba,22,11,2,12,2,4,12,6,8,8,70,138,33,35,15.94202899,7.971014493,1.449275362,8.695652174,1.449275362,2.898550725,8.695652174,4.347826087,5.797101449,5.797101449,50.72463768,100,23.91304348,25.36231884,1981
b1624,stars on 45 medley,stars on 45,23,11,10,3,8,9,12,8,8,5,101,177,34,42,12.99435028,6.214689266,5.649717514,1.694915254,4.519774011,5.084745763,6.779661017,4.519774011,4.519774011,2.824858757,57.06214689,100,19.20903955,23.72881356,1981
b1625,angel of the morning,juice newton,17,6,2,15,1,2,17,4,14,11,32,99,23,44,17.17171717,6.060606061,2.02020202,15.15151515,1.01010101,2.02020202,17.17171717,4.04040404,14.14141414,11.11111111,32.32323232,100,23.23232323,44.44444444,1981
b1626,love on the rocks,neil diamond,8,12,8,2,6,7,7,11,9,3,56,91,20,15,8.791208791,13.18681319,8.791208791,2.197802198,6.593406593,7.692307692,7.692307692,12.08791209,9.89010989,3.296703297,61.53846154,100,21.97802198,16.48351648,1981
b1627,every woman in the world,air supply,10,5,3,6,2,5,9,5,3,3,75,145,15,55,6.896551724,3.448275862,2.068965517,4.137931034,1.379310345,3.448275862,6.206896552,3.448275862,2.068965517,2.068965517,51.72413793,100,10.34482759,37.93103448,1981
b1628,the one that you love,air supply,20,3,3,1,0,0,20,0,0,2,92,140,23,25,14.28571429,2.142857143,2.142857143,0.714285714,0,0,14.28571429,0,0,1.428571429,65.71428571,100,16.42857143,17.85714286,1981
b1629,guilty,barbra streisand  barry gibb,16,22,13,6,5,11,11,18,0,1,87,175,38,50,9.142857143,12.57142857,7.428571429,3.428571429,2.857142857,6.285714286,6.285714286,10.28571429,0,0.571428571,49.71428571,100,21.71428571,28.57142857,1981
b1630,the best of times,styx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1981
b1631,elvira,the oak ridge boys,5,2,1,1,0,6,2,0,0,0,103,156,7,46,3.205128205,1.282051282,0.641025641,0.641025641,0,3.846153846,1.282051282,0,0,0,66.02564103,100,4.487179487,29.48717949,1981
b1632,take it on the run,reo speedwagon,17,8,5,7,1,4,15,3,2,7,95,137,25,17,12.40875912,5.839416058,3.649635036,5.109489051,0.729927007,2.919708029,10.94890511,2.189781022,1.459854015,5.109489051,69.34306569,100,18.24817518,12.40875912,1981
b1633,theres no gettin over me,ronnie milsap,18,12,10,8,11,10,16,11,6,16,57,99,30,12,18.18181818,12.12121212,10.1010101,8.080808081,11.11111111,10.1010101,16.16161616,11.11111111,6.060606061,16.16161616,57.57575758,100,30.3030303,12.12121212,1981
b1634,living inside myself,gino vannelli,7,17,4,2,2,8,5,12,6,1,35,112,24,53,6.25,15.17857143,3.571428571,1.785714286,1.785714286,7.142857143,4.464285714,10.71428571,5.357142857,0.892857143,31.25,100,21.42857143,47.32142857,1981
b1635,woman in love,barbra streisand,13,6,2,5,2,5,8,4,2,3,38,93,19,36,13.97849462,6.451612903,2.150537634,5.376344086,2.150537634,5.376344086,8.602150538,4.301075269,2.150537634,3.225806452,40.86021505,100,20.43010753,38.70967742,1981
b1636,the boy from new york city,the manhattan transfer,27,13,3,8,11,3,12,3,7,7,140,212,40,32,12.73584906,6.132075472,1.41509434,3.773584906,5.188679245,1.41509434,5.660377358,1.41509434,3.301886792,3.301886792,66.03773585,100,18.86792453,15.09433962,1981
b1637,urgent,foreigner,11,3,2,5,1,2,7,1,0,3,75,164,14,75,6.707317073,1.829268293,1.219512195,3.048780488,0.609756098,1.219512195,4.268292683,0.609756098,0,1.829268293,45.73170732,100,8.536585366,45.73170732,1981
b1638,passion,rod stewart,37,13,4,33,0,9,34,6,0,33,66,154,50,38,24.02597403,8.441558442,2.597402597,21.42857143,0,5.844155844,22.07792208,3.896103896,0,21.42857143,42.85714286,100,32.46753247,24.67532468,1981
b1639,lady you bring me up,commodores,6,1,1,4,1,9,6,1,1,3,136,187,7,44,3.20855615,0.534759358,0.534759358,2.139037433,0.534759358,4.812834225,3.20855615,0.534759358,0.534759358,1.604278075,72.72727273,100,3.743315508,23.52941176,1981
b1640,crying,don mclean,5,16,2,3,2,2,4,16,1,2,31,61,21,9,8.196721311,26.2295082,3.278688525,4.918032787,3.278688525,3.278688525,6.557377049,26.2295082,1.639344262,3.278688525,50.81967213,100,34.42622951,14.75409836,1981
b1641,hearts,marty balin,7,8,1,4,0,1,7,4,4,1,52,99,15,32,7.070707071,8.080808081,1.01010101,4.04040404,0,1.01010101,7.070707071,4.04040404,4.04040404,1.01010101,52.52525253,100,15.15151515,32.32323232,1981
b1642,its my turn,diana ross,9,16,14,10,11,11,6,15,4,7,86,153,25,42,5.882352941,10.45751634,9.150326797,6.535947712,7.189542484,7.189542484,3.921568627,9.803921569,2.614379085,4.575163399,56.20915033,100,16.33986928,27.45098039,1981
b1643,you make my dreams,hall  oates,5,2,3,0,2,2,2,2,2,2,43,77,7,27,6.493506494,2.597402597,3.896103896,0,2.597402597,2.597402597,2.597402597,2.597402597,2.597402597,2.597402597,55.84415584,100,9.090909091,35.06493506,1981
b1644,i dont need you,kenny rogers,12,2,2,2,2,2,12,2,0,5,75,93,14,4,12.90322581,2.150537634,2.150537634,2.150537634,2.150537634,2.150537634,12.90322581,2.150537634,0,5.376344086,80.64516129,100,15.05376344,4.301075269,1981
b1645,how bout us,champaign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1981
b1646,hit me with your best shot,pat benatar,4,24,21,2,0,18,0,15,12,2,54,102,28,20,3.921568627,23.52941176,20.58823529,1.960784314,0,17.64705882,0,14.70588235,11.76470588,1.960784314,52.94117647,100,27.45098039,19.60784314,1981
b1647,the breakup song they dont write em,the greg kihn band,2,7,2,1,0,2,2,4,1,1,129,166,9,28,1.204819277,4.21686747,1.204819277,0.602409639,0,1.204819277,1.204819277,2.409638554,0.602409639,0.602409639,77.71084337,100,5.421686747,16.86746988,1981
b1648,time,the alan parsons project,8,2,0,7,0,0,4,0,0,2,40,68,10,18,11.76470588,2.941176471,0,10.29411765,0,0,5.882352941,0,0,2.941176471,58.82352941,100,14.70588235,26.47058824,1981
b1649,hungry heart,bruce springsteen,3,5,1,4,0,0,2,1,1,1,38,63,8,17,4.761904762,7.936507937,1.587301587,6.349206349,0,0,3.174603175,1.587301587,1.587301587,1.587301587,60.31746032,100,12.6984127,26.98412698,1981
b1650,sweetheart,franke and the knockouts,22,6,5,19,5,5,20,12,4,14,38,81,28,15,27.16049383,7.407407407,6.172839506,23.45679012,6.172839506,6.172839506,24.69135802,14.81481481,4.938271605,17.28395062,46.91358025,100,34.56790123,18.51851852,1981
b1651,somebodys knockin,terri gibbs,4,6,2,6,4,5,2,7,0,4,77,105,10,18,3.80952381,5.714285714,1.904761905,5.714285714,3.80952381,4.761904762,1.904761905,6.666666667,0,3.80952381,73.33333333,100,9.523809524,17.14285714,1981
b1652,more than i can say,leo sayer,15,8,4,4,3,5,15,7,0,0,57,102,23,22,14.70588235,7.843137255,3.921568627,3.921568627,2.941176471,4.901960784,14.70588235,6.862745098,0,0,55.88235294,100,22.54901961,21.56862745,1981
b1653,together,tierra,9,4,3,7,3,3,9,4,1,5,28,49,13,8,18.36734694,8.163265306,6.12244898,14.28571429,6.12244898,6.12244898,18.36734694,8.163265306,2.040816327,10.20408163,57.14285714,100,26.53061224,16.32653061,1981
b1654,too much time on my hands,styx,5,10,4,23,3,5,3,7,1,3,101,191,15,75,2.617801047,5.235602094,2.094240838,12.04188482,1.570680628,2.617801047,1.570680628,3.664921466,0.523560209,1.570680628,52.87958115,100,7.853403141,39.26701571,1981
b1655,what are we doin in love,dottie west  kenny rogers,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,1981
b1656,whos crying now,journey,10,17,7,3,4,10,8,13,2,2,63,112,27,22,8.928571429,15.17857143,6.25,2.678571429,3.571428571,8.928571429,7.142857143,11.60714286,1.785714286,1.785714286,56.25,100,24.10714286,19.64285714,1981
b1657,de do do do de da da da,the police,11,13,8,2,4,7,0,7,1,2,91,124,24,9,8.870967742,10.48387097,6.451612903,1.612903226,3.225806452,5.64516129,0,5.64516129,0.806451613,1.612903226,73.38709677,100,19.35483871,7.258064516,1981
b1658,this little girl,gary us bonds,4,10,2,5,5,8,2,5,1,2,126,181,14,41,2.209944751,5.524861878,1.104972376,2.762430939,2.762430939,4.419889503,1.104972376,2.762430939,0.552486188,1.104972376,69.61325967,100,7.73480663,22.6519337,1981
b1659,stop draggin my heart around,stevie nicks  tom petty,5,6,3,2,3,3,5,4,2,2,76,116,11,29,4.310344828,5.172413793,2.586206897,1.724137931,2.586206897,2.586206897,4.310344828,3.448275862,1.724137931,1.724137931,65.51724138,100,9.482758621,25,1981
b1660,giving it up for your love,delbert mcclinton,29,9,8,5,4,4,27,6,3,6,95,148,38,15,19.59459459,6.081081081,5.405405405,3.378378378,2.702702703,2.702702703,18.24324324,4.054054054,2.027027027,4.054054054,64.18918919,100,25.67567568,10.13513514,1981
b1661,a little in love,cliff richard,32,0,0,3,0,0,30,0,0,5,133,172,32,7,18.60465116,0,0,1.744186047,0,0,17.44186047,0,0,2.906976744,77.3255814,100,18.60465116,4.069767442,1981
b1662,america,neil diamond,12,1,1,17,0,0,8,2,2,8,55,109,13,41,11.00917431,0.917431193,0.917431193,15.59633028,0,0,7.339449541,1.834862385,1.834862385,7.339449541,50.4587156,100,11.9266055,37.6146789,1981
b1663,aint even done with the night,john cougar,5,5,2,2,3,2,1,1,2,1,63,95,10,22,5.263157895,5.263157895,2.105263158,2.105263158,3.157894737,2.105263158,1.052631579,1.052631579,2.105263158,1.052631579,66.31578947,100,10.52631579,23.15789474,1981
b1664,arthurs theme best that you can do,christopher cross,4,10,4,4,1,5,3,9,1,1,78,125,14,33,3.2,8,3.2,3.2,0.8,4,2.4,7.2,0.8,0.8,62.4,100,11.2,26.4,1981
b1665,another one bites the dust,queen,4,37,6,8,4,5,3,5,2,4,100,174,41,33,2.298850575,21.26436782,3.448275862,4.597701149,2.298850575,2.873563218,1.724137931,2.873563218,1.149425287,2.298850575,57.47126437,100,23.56321839,18.96551724,1981
b1666,games people play,the alan parsons project,10,8,0,3,0,4,4,8,4,6,62,128,18,48,7.8125,6.25,0,2.34375,0,3.125,3.125,6.25,3.125,4.6875,48.4375,100,14.0625,37.5,1981
b1667,i cant stand it,eric clapton,2,3,3,5,1,1,1,1,1,2,110,185,5,70,1.081081081,1.621621622,1.621621622,2.702702703,0.540540541,0.540540541,0.540540541,0.540540541,0.540540541,1.081081081,59.45945946,100,2.702702703,37.83783784,1981
b1668,while you see a chance,steve winwood,9,5,1,8,1,7,7,9,14,7,45,89,14,30,10.11235955,5.617977528,1.123595506,8.988764045,1.123595506,7.865168539,7.865168539,10.11235955,15.73033708,7.865168539,50.56179775,100,15.73033708,33.70786517,1981
b1669,master blaster jammin,stevie wonder,34,6,4,21,2,5,19,6,24,18,136,223,40,47,15.24663677,2.69058296,1.793721973,9.417040359,0.896860987,2.242152466,8.520179372,2.69058296,10.76233184,8.071748879,60.98654709,100,17.93721973,21.07623318,1981
b1670,hello again,neil diamond,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,1981
b1671,dont stand so close to me,the police,5,11,7,3,5,3,2,6,1,3,62,147,16,69,3.401360544,7.482993197,4.761904762,2.040816327,3.401360544,2.040816327,1.360544218,4.081632653,0.680272109,2.040816327,42.17687075,100,10.88435374,46.93877551,1981
b1672,hey nineteen,steely dan,16,4,2,4,2,2,10,3,6,9,62,98,20,16,16.32653061,4.081632653,2.040816327,4.081632653,2.040816327,2.040816327,10.20408163,3.06122449,6.12244898,9.183673469,63.26530612,100,20.40816327,16.32653061,1981
b1673,i aint gonna stand for it,stevie wonder,27,7,1,3,2,6,26,5,3,2,107,169,34,28,15.97633136,4.142011834,0.591715976,1.775147929,1.183431953,3.550295858,15.38461538,2.958579882,1.775147929,1.183431953,63.31360947,100,20.1183432,16.56804734,1981
b1674,all those years ago,george harrison,8,9,5,3,5,6,4,7,2,6,42,90,17,31,8.888888889,10,5.555555556,3.333333333,5.555555556,6.666666667,4.444444444,7.777777778,2.222222222,6.666666667,46.66666667,100,18.88888889,34.44444444,1981
b1675,step by step,eddie rabbitt,7,5,4,4,4,5,7,4,4,5,103,171,12,56,4.093567251,2.923976608,2.339181287,2.339181287,2.339181287,2.923976608,4.093567251,2.339181287,2.339181287,2.923976608,60.23391813,100,7.01754386,32.74853801,1981
b1676,the stroke,billy squier,14,58,6,8,6,53,7,53,8,6,58,161,72,31,8.695652174,36.02484472,3.726708075,4.968944099,3.726708075,32.91925466,4.347826087,32.91925466,4.968944099,3.726708075,36.02484472,100,44.72049689,19.25465839,1981
b1677,feels so right,alabama,7,1,1,2,0,0,7,0,1,4,30,69,8,31,10.14492754,1.449275362,1.449275362,2.898550725,0,0,10.14492754,0,1.449275362,5.797101449,43.47826087,100,11.5942029,44.92753623,1981
b1678,sweet baby,george duke  stanley clarke,34,3,0,20,0,0,33,3,16,19,60,118,37,21,28.81355932,2.542372881,0,16.94915254,0,0,27.96610169,2.542372881,13.55932203,16.10169492,50.84745763,100,31.3559322,17.79661017,1981
b1679,same old lang syne,dan fogelberg,24,9,1,8,0,3,16,9,2,10,82,159,33,44,15.09433962,5.660377358,0.628930818,5.031446541,0,1.886792453,10.06289308,5.660377358,1.257861635,6.289308176,51.57232704,100,20.75471698,27.67295597,1981
b1680,cool love,pablo cruise,30,2,0,6,0,2,18,0,3,4,66,120,32,22,25,1.666666667,0,5,0,1.666666667,15,0,2.5,3.333333333,55,100,26.66666667,18.33333333,1981
b1681,hold on tight,electric light orchestra,3,3,0,6,1,0,2,2,2,1,69,110,6,35,2.727272727,2.727272727,0,5.454545455,0.909090909,0,1.818181818,1.818181818,1.818181818,0.909090909,62.72727273,100,5.454545455,31.81818182,1981
b1682,its now or never,john schneider,12,9,1,18,0,1,12,5,7,4,38,82,21,23,14.63414634,10.97560976,1.219512195,21.95121951,0,1.219512195,14.63414634,6.097560976,8.536585366,4.87804878,46.34146341,100,25.6097561,28.04878049,1981
b1683,treat me right,pat benatar,23,19,14,17,13,14,19,18,14,20,88,145,42,15,15.86206897,13.10344828,9.655172414,11.72413793,8.965517241,9.655172414,13.10344828,12.4137931,9.655172414,13.79310345,60.68965517,100,28.96551724,10.34482759,1981
b1684,winning,santana,24,15,5,26,16,2,23,22,19,22,63,135,39,33,17.77777778,11.11111111,3.703703704,19.25925926,11.85185185,1.481481481,17.03703704,16.2962963,14.07407407,16.2962963,46.66666667,100,28.88888889,24.44444444,1981
b1685,what kind of fool,barbra streisand  barry gibb,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,1981
b1686,watching the wheels,john lennon,9,8,2,5,1,7,7,5,0,6,58,107,17,32,8.411214953,7.476635514,1.869158879,4.672897196,0.934579439,6.542056075,6.542056075,4.672897196,0,5.607476636,54.20560748,100,15.88785047,29.90654206,1981
b1687,tell it like it is,heart,16,11,1,2,2,3,10,4,0,6,74,115,27,14,13.91304348,9.565217391,0.869565217,1.739130435,1.739130435,2.608695652,8.695652174,3.47826087,0,5.217391304,64.34782609,100,23.47826087,12.17391304,1981
b1688,smoky mountain rain,ronnie milsap,4,7,6,10,6,6,2,5,0,2,78,141,11,52,2.836879433,4.964539007,4.255319149,7.092198582,4.255319149,4.255319149,1.418439716,3.546099291,0,1.418439716,55.31914894,100,7.80141844,36.87943262,1981
b1689,i made it through the rain,barry manilow,8,5,5,5,4,4,7,4,3,10,54,104,13,37,7.692307692,4.807692308,4.807692308,4.807692308,3.846153846,3.846153846,6.730769231,3.846153846,2.884615385,9.615384615,51.92307692,100,12.5,35.57692308,1981
b1690,youve lost that lovin feelin,hall  oates,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,1981
b1691,suddenly,olivia newtonjohn  cliff richard,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,1981
b1692,for your eyes only,sheena easton,2,3,1,2,0,2,2,1,1,1,43,68,5,20,2.941176471,4.411764706,1.470588235,2.941176471,0,2.941176471,2.941176471,1.470588235,1.470588235,1.470588235,63.23529412,100,7.352941176,29.41176471,1981
b1693,the beach boys medley,the beach boys,46,13,5,32,5,4,38,3,17,18,251,395,59,85,11.64556962,3.291139241,1.265822785,8.101265823,1.265822785,1.012658228,9.620253165,0.759493671,4.303797468,4.556962025,63.5443038,100,14.93670886,21.51898734,1981
b1694,whip it,devo,20,34,22,8,0,2,5,5,9,3,45,117,54,18,17.09401709,29.05982906,18.8034188,6.837606838,0,1.709401709,4.273504274,4.273504274,7.692307692,2.564102564,38.46153846,100,46.15384615,15.38461538,1981
b1695,modern girl,sheena easton,6,2,1,3,0,1,1,1,2,2,92,160,8,60,3.75,1.25,0.625,1.875,0,0.625,0.625,0.625,1.25,1.25,57.5,100,5,37.5,1981
b1696,really wanna know you,gary wright,3,32,3,5,3,32,2,32,2,16,152,222,35,35,1.351351351,14.41441441,1.351351351,2.252252252,1.351351351,14.41441441,0.900900901,14.41441441,0.900900901,7.207207207,68.46846847,100,15.76576577,15.76576577,1981
b1697,seven year ache,rosanne cash,11,13,4,9,7,6,11,7,6,9,101,156,24,31,7.051282051,8.333333333,2.564102564,5.769230769,4.487179487,3.846153846,7.051282051,4.487179487,3.846153846,5.769230769,64.74358974,100,15.38461538,19.87179487,1981
b1698,im coming out,diana ross,3,3,4,17,1,3,2,2,3,7,80,125,6,39,2.4,2.4,3.2,13.6,0.8,2.4,1.6,1.6,2.4,5.6,64,100,4.8,31.2,1981
b1699,miss sun,boz scaggs,9,2,2,24,1,1,9,1,11,4,44,105,11,50,8.571428571,1.904761905,1.904761905,22.85714286,0.952380952,0.952380952,8.571428571,0.952380952,10.47619048,3.80952381,41.9047619,100,10.47619048,47.61904762,1981
b1700,time is time,andy gibb,28,14,4,17,6,5,21,6,3,7,55,150,42,53,18.66666667,9.333333333,2.666666667,11.33333333,4,3.333333333,14,4,2,4.666666667,36.66666667,100,28,35.33333333,1981
b1701,physical,olivia newtonjohn,19,6,0,4,0,6,3,6,2,3,84,180,25,71,10.55555556,3.333333333,0,2.222222222,0,3.333333333,1.666666667,3.333333333,1.111111111,1.666666667,46.66666667,100,13.88888889,39.44444444,1982
b1702,eye of the tiger,survivor,9,17,8,11,1,18,7,3,5,6,59,139,26,54,6.474820144,12.23021583,5.755395683,7.913669065,0.71942446,12.94964029,5.035971223,2.158273381,3.597122302,4.316546763,42.44604317,100,18.70503597,38.84892086,1982
b1703,i love rock n roll,joan jett and the blackhearts,43,0,0,9,0,0,29,0,0,9,95,183,43,45,23.49726776,0,0,4.918032787,0,0,15.84699454,0,0,4.918032787,51.91256831,100,23.49726776,24.59016393,1982
b1704,ebony and ivory,paul mccartney and stevie wonder,17,4,2,6,4,2,9,2,2,11,29,64,21,14,26.5625,6.25,3.125,9.375,6.25,3.125,14.0625,3.125,3.125,17.1875,45.3125,100,32.8125,21.875,1982
b1705,centerfold,the j geils band,21,13,3,20,3,3,19,3,20,18,102,181,34,45,11.60220994,7.182320442,1.657458564,11.04972376,1.657458564,1.657458564,10.49723757,1.657458564,11.04972376,9.944751381,56.35359116,100,18.78453039,24.86187845,1982
b1706,dont you want me,the human league,16,3,0,6,0,2,14,2,2,1,124,176,19,33,9.090909091,1.704545455,0,3.409090909,0,1.136363636,7.954545455,1.136363636,1.136363636,0.568181818,70.45454545,100,10.79545455,18.75,1982
b1707,jack  diane,john cougar,15,5,4,17,1,10,13,1,7,4,84,159,20,55,9.433962264,3.144654088,2.51572327,10.6918239,0.628930818,6.289308176,8.176100629,0.628930818,4.402515723,2.51572327,52.83018868,100,12.57861635,34.59119497,1982
b1708,hurts so good,john cougar,24,12,5,15,7,5,20,7,11,9,44,111,36,31,21.62162162,10.81081081,4.504504505,13.51351351,6.306306306,4.504504505,18.01801802,6.306306306,9.90990991,8.108108108,39.63963964,100,32.43243243,27.92792793,1982
b1709,abracadabra,steve miller band,18,7,6,5,0,3,7,3,4,2,54,132,25,53,13.63636364,5.303030303,4.545454545,3.787878788,0,2.272727273,5.303030303,2.272727273,3.03030303,1.515151515,40.90909091,100,18.93939394,40.15151515,1982
b1710,hard to say im sorry,chicago,7,1,0,3,0,1,7,1,1,4,79,99,8,12,7.070707071,1.01010101,0,3.03030303,0,1.01010101,7.070707071,1.01010101,1.01010101,4.04040404,79.7979798,100,8.080808081,12.12121212,1982
b1711,tainted love,soft cell,10,6,2,3,4,5,10,4,2,3,71,96,16,9,10.41666667,6.25,2.083333333,3.125,4.166666667,5.208333333,10.41666667,4.166666667,2.083333333,3.125,73.95833333,100,16.66666667,9.375,1982
b1712,chariots of fire,vangelis,1,0,0,0,0,3,1,0,0,0,3,12,1,8,8.333333333,0,0,0,0,25,8.333333333,0,0,0,25,100,8.333333333,66.66666667,1982
b1713,harden my heart,quarterflash,4,8,4,8,3,2,1,6,4,3,97,160,12,51,2.5,5,2.5,5,1.875,1.25,0.625,3.75,2.5,1.875,60.625,100,7.5,31.875,1982
b1714,rosanna,toto,1,5,2,3,0,4,1,5,0,0,96,141,6,39,0.709219858,3.546099291,1.418439716,2.127659574,0,2.836879433,0.709219858,3.546099291,0,0,68.08510638,100,4.255319149,27.65957447,1982
b1715,i cant go for that no can do,daryl hall  john oates,0,7,6,2,6,7,0,6,0,1,107,123,7,9,0,5.691056911,4.87804878,1.62601626,4.87804878,5.691056911,0,4.87804878,0,0.81300813,86.99186992,100,5.691056911,7.317073171,1982
b1716,8675309jenny,tommy tutone,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,1982
b1717,key largo,bertie higgins,6,12,1,2,1,3,5,10,2,6,49,93,18,26,6.451612903,12.90322581,1.075268817,2.150537634,1.075268817,3.225806452,5.376344086,10.75268817,2.150537634,6.451612903,52.68817204,100,19.35483871,27.95698925,1982
b1718,you should hear how she talks about you,melissa manchester,30,11,1,6,1,4,9,11,3,3,120,200,41,39,15,5.5,0.5,3,0.5,2,4.5,5.5,1.5,1.5,60,100,20.5,19.5,1982
b1719,waiting for a girl like you,foreigner,13,3,1,10,0,2,10,2,1,4,68,138,16,54,9.420289855,2.173913043,0.724637681,7.246376812,0,1.449275362,7.246376812,1.449275362,0.724637681,2.898550725,49.27536232,100,11.5942029,39.13043478,1982
b1720,dont talk to strangers,rick springfield,51,28,6,4,5,21,14,8,1,5,114,213,79,20,23.94366197,13.14553991,2.816901408,1.877934272,2.34741784,9.85915493,6.572769953,3.755868545,0.469483568,2.34741784,53.52112676,100,37.08920188,9.389671362,1982
b1721,the sweetest thing ive ever known,juice newton,13,7,3,3,1,2,13,4,2,6,52,89,20,17,14.60674157,7.865168539,3.370786517,3.370786517,1.123595506,2.247191011,14.60674157,4.494382022,2.247191011,6.741573034,58.42696629,100,22.47191011,19.1011236,1982
b1722,always on my mind,willie nelson,7,4,4,7,4,4,7,4,5,4,50,78,11,17,8.974358974,5.128205128,5.128205128,8.974358974,5.128205128,5.128205128,8.974358974,5.128205128,6.41025641,5.128205128,64.1025641,100,14.1025641,21.79487179,1982
b1723,shake it up,the cars,16,6,5,2,1,3,10,3,0,15,95,176,22,59,9.090909091,3.409090909,2.840909091,1.136363636,0.568181818,1.704545455,5.681818182,1.704545455,0,8.522727273,53.97727273,100,12.5,33.52272727,1982
b1724,let it whip,dazz band,32,49,41,28,10,9,30,9,11,2,128,246,81,37,13.00813008,19.91869919,16.66666667,11.38211382,4.06504065,3.658536585,12.19512195,3.658536585,4.471544715,0.81300813,52.03252033,100,32.92682927,15.04065041,1982
b1725,we got the beat,the gogos,4,5,0,1,0,0,3,4,1,3,68,126,9,49,3.174603175,3.968253968,0,0.793650794,0,0,2.380952381,3.174603175,0.793650794,2.380952381,53.96825397,100,7.142857143,38.88888889,1982
b1726,the other woman,ray parker jr,13,2,0,8,0,0,11,0,4,5,87,167,15,65,7.784431138,1.19760479,0,4.790419162,0,0,6.586826347,0,2.395209581,2.994011976,52.09580838,100,8.982035928,38.92215569,1982
b1727,turn your love around,george benson,20,0,0,4,0,1,19,1,2,9,69,144,20,55,13.88888889,0,0,2.777777778,0,0.694444444,13.19444444,0.694444444,1.388888889,6.25,47.91666667,100,13.88888889,38.19444444,1982
b1728,sweet dreams,air supply,29,5,2,23,1,1,21,3,15,16,69,161,34,58,18.01242236,3.105590062,1.242236025,14.28571429,0.621118012,0.621118012,13.04347826,1.863354037,9.316770186,9.937888199,42.85714286,100,21.11801242,36.02484472,1982
b1729,only the lonely,the motels,3,12,11,4,11,10,3,11,3,2,30,63,15,18,4.761904762,19.04761905,17.46031746,6.349206349,17.46031746,15.87301587,4.761904762,17.46031746,4.761904762,3.174603175,47.61904762,100,23.80952381,28.57142857,1982
b1730,who can it be now,men at work,4,11,7,2,6,8,4,8,3,3,49,79,15,15,5.063291139,13.92405063,8.860759494,2.53164557,7.594936709,10.12658228,5.063291139,10.12658228,3.797468354,3.797468354,62.02531646,100,18.98734177,18.98734177,1982
