,title,artist,positive,negative,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,unknown,total_number_of_words,emotional_impact_words,neutral_words,norm_positive,norm_negative,norm_anger,norm_anticipation,norm_disgust,norm_fear,norm_joy,norm_sadness,norm_surprise,norm_trust,norm_unknown,norm_total_number_of_words,norm_emotional_impact_words,norm_neutral_words
ML87,laugh laugh,the beau brummels,23,16,11,11,11,12,18,13,13,14,0,153,39,114,15.032679738562091,10.457516339869281,7.189542483660131,7.189542483660131,7.189542483660131,7.8431372549019605,11.764705882352942,8.49673202614379,8.49673202614379,9.15032679738562,0.0,100.0,25.49019607843137,0
ML88,the last time,the rolling stones,1,4,2,15,2,5,1,4,2,2,0,94,5,89,1.0638297872340425,4.25531914893617,2.127659574468085,15.957446808510639,2.127659574468085,5.319148936170213,1.0638297872340425,4.25531914893617,2.127659574468085,2.127659574468085,0.0,100.0,5.319148936170213,0
ML89,do you believe in magic,the lovin spoonful,15,9,4,8,2,4,12,10,3,4,0,125,24,101,12.0,7.2,3.2,6.4,1.6,3.2,9.6,8.0,2.4,3.2,0.0,100.0,19.2,0
ML90,all i really want to do,cher,23,10,7,2,2,5,21,5,3,11,0,92,33,59,25.0,10.869565217391305,7.608695652173913,2.1739130434782608,2.1739130434782608,5.434782608695652,22.82608695652174,5.434782608695652,3.260869565217391,11.956521739130435,0.0,100.0,35.869565217391305,0
ML91,take me back,little anthony and the imperials,7,14,12,0,7,8,6,10,0,6,0,85,21,64,8.235294117647058,16.470588235294116,14.117647058823529,0.0,8.235294117647058,9.411764705882353,7.0588235294117645,11.764705882352942,0.0,7.0588235294117645,0.0,100.0,24.705882352941178,0
ML92,i want candy,the strangeloves,4,2,2,4,2,3,4,2,4,4,0,78,6,72,5.128205128205129,2.5641025641025643,2.5641025641025643,5.128205128205129,2.5641025641025643,3.8461538461538463,5.128205128205129,2.5641025641025643,5.128205128205129,5.128205128205129,0.0,100.0,7.6923076923076925,0
ML93,ooo baby baby,the miracles,19,8,1,2,1,1,19,7,1,2,0,74,27,47,25.675675675675677,10.81081081081081,1.3513513513513513,2.7027027027027026,1.3513513513513513,1.3513513513513513,25.675675675675677,9.45945945945946,1.3513513513513513,2.7027027027027026,0.0,100.0,36.486486486486484,0
ML94,laugh at me,sonny bono,7,12,9,3,7,9,6,8,3,4,0,85,19,66,8.235294117647058,14.117647058823529,10.588235294117647,3.5294117647058822,8.235294117647058,10.588235294117647,7.0588235294117645,9.411764705882353,3.5294117647058822,4.705882352941177,0.0,100.0,22.352941176470587,0
ML95,treat her right,roy head,11,4,2,6,2,3,8,4,3,5,0,59,15,44,18.64406779661017,6.779661016949152,3.389830508474576,10.169491525423728,3.389830508474576,5.084745762711864,13.559322033898304,6.779661016949152,5.084745762711864,8.474576271186441,0.0,100.0,25.423728813559322,0
ML96,the race is on,jack jones,7,16,5,3,3,9,7,15,5,0,0,117,23,94,5.982905982905983,13.675213675213675,4.273504273504273,2.5641025641025643,2.5641025641025643,7.6923076923076925,5.982905982905983,12.820512820512821,4.273504273504273,0.0,0.0,100.0,19.65811965811966,0
ML98,the boy from new york city,the ad libs,9,9,1,6,7,0,5,0,4,2,0,162,18,144,5.555555555555555,5.555555555555555,0.6172839506172839,3.7037037037037037,4.320987654320987,0.0,3.0864197530864197,0.0,2.4691358024691357,1.2345679012345678,0.0,100.0,11.11111111111111,0
ML99,keep searchin well follow the sun,del shannon,2,4,4,1,2,6,2,4,2,1,0,87,6,81,2.2988505747126435,4.597701149425287,4.597701149425287,1.1494252873563218,2.2988505747126435,6.896551724137931,2.2988505747126435,4.597701149425287,2.2988505747126435,1.1494252873563218,0.0,100.0,6.896551724137931,0
ML100,how sweet it is to be loved by you,marvin gaye,26,1,0,11,0,0,23,0,11,13,0,110,27,83,23.636363636363637,0.9090909090909091,0.0,10.0,0.0,0.0,20.90909090909091,0.0,10.0,11.818181818181818,0.0,100.0,24.545454545454547,0
ML102,cherish,the association,22,6,4,23,3,5,17,4,13,21,0,144,28,116,15.277777777777779,4.166666666666667,2.7777777777777777,15.972222222222221,2.0833333333333335,3.4722222222222223,11.805555555555555,2.7777777777777777,9.027777777777779,14.583333333333334,0.0,100.0,19.444444444444443,0
ML103,youre my soul and inspiration,the righteous brothers,22,1,1,13,0,2,19,1,5,6,0,113,23,90,19.469026548672566,0.8849557522123894,0.8849557522123894,11.504424778761061,0.0,1.7699115044247788,16.8141592920354,0.8849557522123894,4.424778761061947,5.3097345132743365,0.0,100.0,20.353982300884955,0
ML104,reach out ill be there,the four tops,21,13,9,8,8,10,19,9,4,13,0,102,34,68,20.58823529411765,12.745098039215685,8.823529411764707,7.8431372549019605,7.8431372549019605,9.803921568627452,18.627450980392158,8.823529411764707,3.9215686274509802,12.745098039215685,0.0,100.0,33.333333333333336,0
ML105,96 tears,  the mysterians,4,26,3,7,3,5,2,25,1,3,0,142,30,112,2.816901408450704,18.309859154929576,2.112676056338028,4.929577464788732,2.112676056338028,3.5211267605633805,1.408450704225352,17.6056338028169,0.704225352112676,2.112676056338028,0.0,100.0,21.12676056338028,0
ML106,last train to clarksville,the monkees,1,4,4,5,3,3,1,3,1,0,0,119,5,114,0.8403361344537815,3.361344537815126,3.361344537815126,4.201680672268908,2.5210084033613445,2.5210084033613445,0.8403361344537815,2.5210084033613445,0.8403361344537815,0.0,0.0,100.0,4.201680672268908,0
ML107,monday monday,the mamas  the papas,4,3,0,5,0,1,2,3,3,6,0,117,7,110,3.4188034188034186,2.5641025641025643,0.0,4.273504273504273,0.0,0.8547008547008547,1.7094017094017093,2.5641025641025643,2.5641025641025643,5.128205128205129,0.0,100.0,5.982905982905983,0
ML108,you cant hurry love,the supremes,23,12,2,25,0,2,20,2,1,6,0,169,35,134,13.609467455621301,7.100591715976331,1.183431952662722,14.792899408284024,0.0,1.183431952662722,11.834319526627219,1.183431952662722,0.591715976331361,3.5502958579881656,0.0,100.0,20.71005917159763,0
ML109,poor side of town,johnny rivers,6,2,1,2,2,0,6,0,1,1,0,93,8,85,6.451612903225806,2.150537634408602,1.075268817204301,2.150537634408602,2.150537634408602,0.0,6.451612903225806,0.0,1.075268817204301,1.075268817204301,0.0,100.0,8.602150537634408,0
ML110,california dreamin,the mamas  the papas,5,3,0,2,0,1,3,1,2,3,0,64,8,56,7.8125,4.6875,0.0,3.125,0.0,1.5625,4.6875,1.5625,3.125,4.6875,0.0,100.0,12.5,0
ML111,summer in the city,lovin spoonful,5,2,1,1,2,0,4,5,0,4,0,156,7,149,3.2051282051282053,1.2820512820512822,0.6410256410256411,0.6410256410256411,1.2820512820512822,0.0,2.5641025641025643,3.2051282051282053,0.0,2.5641025641025643,0.0,100.0,4.487179487179487,0
ML112,born free,roger williams,5,1,0,3,0,1,2,0,0,1,0,50,6,44,10.0,2.0,0.0,6.0,0.0,2.0,4.0,0.0,0.0,2.0,0.0,100.0,12.0,0
ML113,these boots are made for walkin,nancy sinatra,4,3,1,3,1,0,2,1,0,2,0,95,7,88,4.2105263157894735,3.1578947368421053,1.0526315789473684,3.1578947368421053,1.0526315789473684,0.0,2.1052631578947367,1.0526315789473684,0.0,2.1052631578947367,0.0,100.0,7.368421052631579,0
ML114,what becomes of the brokenhearted,jimmy ruffin,18,18,9,9,5,9,16,15,2,11,0,131,36,95,13.740458015267176,13.740458015267176,6.870229007633588,6.870229007633588,3.816793893129771,6.870229007633588,12.213740458015268,11.450381679389313,1.5267175572519085,8.396946564885496,0.0,100.0,27.480916030534353,0
ML115,strangers in the night,frank sinatra,11,5,1,4,1,5,11,1,4,6,0,77,16,61,14.285714285714286,6.4935064935064934,1.2987012987012987,5.194805194805195,1.2987012987012987,6.4935064935064934,14.285714285714286,1.2987012987012987,5.194805194805195,7.792207792207792,0.0,100.0,20.77922077922078,0
ML116,we can work it out,the beatles,5,10,4,10,0,1,4,2,3,3,0,94,15,79,5.319148936170213,10.638297872340425,4.25531914893617,10.638297872340425,0.0,1.0638297872340425,4.25531914893617,2.127659574468085,3.1914893617021276,3.1914893617021276,0.0,100.0,15.957446808510639,0
ML117,good lovin,the young rascals,39,2,1,27,1,2,36,2,26,28,0,130,41,89,30.0,1.5384615384615385,0.7692307692307693,20.76923076923077,0.7692307692307693,1.5384615384615385,27.692307692307693,1.5384615384615385,20.0,21.53846153846154,0.0,100.0,31.53846153846154,0
ML118,winchester cathedral,new vaudeville band,4,0,0,0,0,0,4,0,0,2,0,43,4,39,9.30232558139535,0.0,0.0,0.0,0.0,0.0,9.30232558139535,0.0,0.0,4.651162790697675,0.0,100.0,9.30232558139535,0
ML119,hanky panky,tommy james and the shondells,13,0,0,2,0,0,12,0,0,1,0,51,13,38,25.49019607843137,0.0,0.0,3.9215686274509802,0.0,0.0,23.529411764705884,0.0,0.0,1.9607843137254901,0.0,100.0,25.49019607843137,0
ML120,when a man loves a woman,percy sledge,19,7,4,4,5,4,19,4,3,7,0,99,26,73,19.19191919191919,7.070707070707071,4.040404040404041,4.040404040404041,5.05050505050505,4.040404040404041,19.19191919191919,4.040404040404041,3.0303030303030303,7.070707070707071,0.0,100.0,26.262626262626263,0
ML121,paint it black,the rolling stones,11,19,3,3,1,6,7,19,4,5,0,135,30,105,8.148148148148149,14.074074074074074,2.2222222222222223,2.2222222222222223,0.7407407407407407,4.444444444444445,5.185185185185185,14.074074074074074,2.962962962962963,3.7037037037037037,0.0,100.0,22.22222222222222,0
ML122,my love,petula clark,30,1,0,6,0,4,22,0,0,5,0,125,31,94,24.0,0.8,0.0,4.8,0.0,3.2,17.6,0.0,0.0,4.0,0.0,100.0,24.8,0
