,title,artist,positive,negative,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,unknown,total_number_of_words,emotional_impact_words,neutral_words,norm_positive,norm_negative,norm_anger,norm_anticipation,norm_disgust,norm_fear,norm_joy,norm_sadness,norm_surprise,norm_trust,norm_unknown,norm_total_number_of_words,norm_emotional_impact_words,norm_neutral_words
ML347,green tambourine,the lemon pipers,11,4,3,5,4,3,10,5,2,10,0,63,15,48,17.46031746031746,6.349206349206349,4.761904761904762,7.936507936507937,6.349206349206349,4.761904761904762,15.873015873015873,7.936507936507937,3.1746031746031744,15.873015873015873,0.0,100.0,23.80952380952381,0
ML348,1 2 3 red light,1910 fruitgum company,9,2,1,6,1,1,7,1,1,0,0,99,11,88,9.090909090909092,2.0202020202020203,1.0101010101010102,6.0606060606060606,1.0101010101010102,1.0101010101010102,7.070707070707071,1.0101010101010102,1.0101010101010102,0.0,0.0,100.0,11.11111111111111,0
ML349,reach out of the darkness,friend  lover,8,6,3,2,2,6,8,3,3,5,0,52,14,38,15.384615384615385,11.538461538461538,5.769230769230769,3.8461538461538463,3.8461538461538463,11.538461538461538,15.384615384615385,5.769230769230769,5.769230769230769,9.615384615384615,0.0,100.0,26.923076923076923,0
ML350,jumpin jack flash,the rolling stones,0,3,0,0,1,3,0,1,0,3,0,99,3,96,0.0,3.0303030303030303,0.0,0.0,1.0101010101010102,3.0303030303030303,0.0,1.0101010101010102,0.0,3.0303030303030303,0.0,100.0,3.0303030303030303,0
ML351,macarthur park,richard harris,22,6,6,10,5,6,17,9,6,13,0,166,28,138,13.25301204819277,3.6144578313253013,3.6144578313253013,6.024096385542169,3.0120481927710845,3.6144578313253013,10.240963855421686,5.421686746987952,3.6144578313253013,7.831325301204819,0.0,100.0,16.867469879518072,0
ML352,light my fire,jose feliciano,10,8,1,2,5,29,10,3,1,0,0,152,18,134,6.578947368421052,5.2631578947368425,0.6578947368421053,1.3157894736842106,3.289473684210526,19.07894736842105,6.578947368421052,1.9736842105263157,0.6578947368421053,0.0,0.0,100.0,11.842105263157896,0
ML353,i love you,people,36,16,17,12,0,3,31,0,0,7,0,153,52,101,23.529411764705884,10.457516339869281,11.11111111111111,7.8431372549019605,0.0,1.9607843137254901,20.26143790849673,0.0,0.0,4.57516339869281,0.0,100.0,33.98692810457516,0
ML354,take time to know her,percy sledge,7,3,1,13,1,2,7,2,1,7,0,130,10,120,5.384615384615385,2.3076923076923075,0.7692307692307693,10.0,0.7692307692307693,1.5384615384615385,5.384615384615385,1.5384615384615385,0.7692307692307693,5.384615384615385,0.0,100.0,7.6923076923076925,0
ML355,pictures of matchstick men,status quo,7,7,1,1,1,0,1,4,1,1,0,77,14,63,9.090909090909092,9.090909090909092,1.2987012987012987,1.2987012987012987,1.2987012987012987,0.0,1.2987012987012987,5.194805194805195,1.2987012987012987,1.2987012987012987,0.0,100.0,18.181818181818183,0
ML356,summertime blues,blue cheer,17,14,2,5,9,3,6,5,2,15,0,124,31,93,13.709677419354838,11.290322580645162,1.6129032258064515,4.032258064516129,7.258064516129032,2.4193548387096775,4.838709677419355,4.032258064516129,1.6129032258064515,12.096774193548388,0.0,100.0,25.0,0
ML357,aint nothing like the real thing,marvin gaye  tammi terrell,23,1,0,4,0,0,10,0,1,15,0,131,24,107,17.557251908396946,0.7633587786259542,0.0,3.053435114503817,0.0,0.0,7.633587786259542,0.0,0.7633587786259542,11.450381679389313,0.0,100.0,18.3206106870229,0
ML358,i got the feelin,james brown,35,7,7,8,7,7,33,7,6,10,0,91,42,49,38.46153846153846,7.6923076923076925,7.6923076923076925,8.791208791208792,7.6923076923076925,7.6923076923076925,36.26373626373626,7.6923076923076925,6.593406593406593,10.989010989010989,0.0,100.0,46.15384615384615,0
ML359,ive gotta get a message to you,the bee gees,1,4,1,4,1,2,1,3,0,0,0,95,5,90,1.0526315789473684,4.2105263157894735,1.0526315789473684,4.2105263157894735,1.0526315789473684,2.1052631578947367,1.0526315789473684,3.1578947368421053,0.0,0.0,0.0,100.0,5.2631578947368425,0
ML360,lady madonna,the beatles,13,2,3,7,1,0,8,1,2,7,0,80,15,65,16.25,2.5,3.75,8.75,1.25,0.0,10.0,1.25,2.5,8.75,0.0,100.0,18.75,0
ML361,hurdy gurdy man,donovan,5,1,0,1,0,0,4,1,0,1,0,136,6,130,3.676470588235294,0.7352941176470589,0.0,0.7352941176470589,0.0,0.0,2.9411764705882355,0.7352941176470589,0.0,0.7352941176470589,0.0,100.0,4.411764705882353,0
ML362,magic carpet ride,steppenwolf,0,0,0,0,0,0,0,0,0,1,0,100,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,100.0,0.0,0
ML363,bottle of wine,the fireballs,1,9,0,8,2,2,0,7,5,0,0,130,10,120,0.7692307692307693,6.923076923076923,0.0,6.153846153846154,1.5384615384615385,1.5384615384615385,0.0,5.384615384615385,3.8461538461538463,0.0,0.0,100.0,7.6923076923076925,0
ML364,stay in my corner,the dells,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ML365,soul serenade,willie mitchell,1,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0
ML366,delilah,tom jones,6,4,2,1,0,1,4,2,4,1,0,75,10,65,8.0,5.333333333333333,2.6666666666666665,1.3333333333333333,0.0,1.3333333333333333,5.333333333333333,2.6666666666666665,5.333333333333333,1.3333333333333333,0.0,100.0,13.333333333333334,0
ML367,nobody but me,the human beinz,2,0,0,0,0,0,2,0,0,0,0,52,2,50,3.8461538461538463,0.0,0.0,0.0,0.0,0.0,3.8461538461538463,0.0,0.0,0.0,0.0,100.0,3.8461538461538463,0
ML368,i thank you,sam and dave,18,4,1,3,2,2,17,3,4,1,0,142,22,120,12.67605633802817,2.816901408450704,0.704225352112676,2.112676056338028,1.408450704225352,1.408450704225352,11.971830985915492,2.112676056338028,2.816901408450704,0.704225352112676,0.0,100.0,15.492957746478874,0
ML369,the fool on the hill,sergio mendes,4,9,1,3,8,1,4,2,3,4,0,75,13,62,5.333333333333333,12.0,1.3333333333333333,4.0,10.666666666666666,1.3333333333333333,5.333333333333333,2.6666666666666665,4.0,5.333333333333333,0.0,100.0,17.333333333333332,0
ML370,sky pilot,the animals,24,4,5,7,2,4,4,4,3,9,0,73,28,45,32.87671232876713,5.47945205479452,6.8493150684931505,9.58904109589041,2.73972602739726,5.47945205479452,5.47945205479452,5.47945205479452,4.109589041095891,12.32876712328767,0.0,100.0,38.35616438356164,0
ML371,indian lake,the cowsills,13,30,2,11,4,7,11,1,4,5,0,187,43,144,6.951871657754011,16.0427807486631,1.0695187165775402,5.882352941176471,2.1390374331550803,3.7433155080213902,5.882352941176471,0.5347593582887701,2.1390374331550803,2.6737967914438503,0.0,100.0,22.994652406417114,0
ML373,over you,gary puckett  the union gap,1,4,4,5,2,4,1,4,5,0,0,59,5,54,1.694915254237288,6.779661016949152,6.779661016949152,8.474576271186441,3.389830508474576,6.779661016949152,1.694915254237288,6.779661016949152,8.474576271186441,0.0,0.0,100.0,8.474576271186441,0
ML376,the unicorn,the irish rovers,13,13,2,4,7,8,10,3,0,11,0,191,26,165,6.806282722513089,6.806282722513089,1.0471204188481675,2.094240837696335,3.6649214659685865,4.18848167539267,5.2356020942408374,1.5706806282722514,0.0,5.7591623036649215,0.0,100.0,13.612565445026178,0
ML377,you keep me hangin on,vanilla fudge,2,1,1,0,0,0,2,0,1,0,0,61,3,58,3.278688524590164,1.639344262295082,1.639344262295082,0.0,0.0,0.0,3.278688524590164,0.0,1.639344262295082,0.0,0.0,100.0,4.918032786885246,0
ML378,revolution,the beatles,10,4,4,4,1,6,2,2,2,5,0,94,14,80,10.638297872340425,4.25531914893617,4.25531914893617,4.25531914893617,1.0638297872340425,6.382978723404255,2.127659574468085,2.127659574468085,2.127659574468085,5.319148936170213,0.0,100.0,14.893617021276595,0
ML379,woman woman,gary puckett  the union gap,4,6,3,0,1,5,3,3,0,2,0,82,10,72,4.878048780487805,7.317073170731708,3.658536585365854,0.0,1.2195121951219512,6.097560975609756,3.658536585365854,3.658536585365854,0.0,2.4390243902439024,0.0,100.0,12.195121951219512,0
ML380,elenore,the turtles,8,1,1,4,1,2,8,1,0,1,0,99,9,90,8.080808080808081,1.0101010101010102,1.0101010101010102,4.040404040404041,1.0101010101010102,2.0202020202020203,8.080808080808081,1.0101010101010102,0.0,1.0101010101010102,0.0,100.0,9.090909090909092,0
ML381,white room,cream,5,11,5,5,4,7,3,10,2,5,0,86,16,70,5.813953488372093,12.790697674418604,5.813953488372093,5.813953488372093,4.651162790697675,8.13953488372093,3.488372093023256,11.627906976744185,2.3255813953488373,5.813953488372093,0.0,100.0,18.6046511627907,0
ML384,sweet inspiration,sweet inspirations,44,3,3,37,3,3,42,3,20,20,0,111,47,64,39.63963963963964,2.7027027027027026,2.7027027027027026,33.333333333333336,2.7027027027027026,2.7027027027027026,37.83783783783784,2.7027027027027026,18.01801801801802,18.01801801801802,0.0,100.0,42.34234234234234,0
ML385,if you can want,the miracles,11,10,10,7,8,8,10,8,1,2,0,93,21,72,11.827956989247312,10.75268817204301,10.75268817204301,7.526881720430108,8.602150537634408,8.602150537634408,10.75268817204301,8.602150537634408,1.075268817204301,2.150537634408602,0.0,100.0,22.580645161290324,0
ML386,cab driver,the mills brothers,18,1,0,6,0,3,5,1,4,5,0,91,19,72,19.78021978021978,1.098901098901099,0.0,6.593406593406593,0.0,3.2967032967032965,5.4945054945054945,1.098901098901099,4.395604395604396,5.4945054945054945,0.0,100.0,20.87912087912088,0
ML387,time has come today,the chambers brothers,7,3,2,33,3,3,6,2,3,4,0,135,10,125,5.185185185185185,2.2222222222222223,1.4814814814814814,24.444444444444443,2.2222222222222223,2.2222222222222223,4.444444444444445,1.4814814814814814,2.2222222222222223,2.962962962962963,0.0,100.0,7.407407407407407,0
ML388,do you know the way to san jose,dionne warwick,9,4,1,6,1,1,7,1,2,8,0,139,13,126,6.474820143884892,2.8776978417266186,0.7194244604316546,4.316546762589928,0.7194244604316546,0.7194244604316546,5.0359712230215825,0.7194244604316546,1.4388489208633093,5.755395683453237,0.0,100.0,9.352517985611511,0
ML389,scarborough faircanticle,simon  garfunkel,22,10,9,3,0,9,8,8,3,9,0,116,32,84,18.96551724137931,8.620689655172415,7.758620689655173,2.586206896551724,0.0,7.758620689655173,6.896551724137931,6.896551724137931,2.586206896551724,7.758620689655173,0.0,100.0,27.586206896551722,0
ML390,say it loud  im black and im proud,james brown,43,53,16,34,5,14,32,42,4,37,0,362,96,266,11.878453038674033,14.640883977900552,4.419889502762431,9.392265193370166,1.3812154696132597,3.867403314917127,8.839779005524862,11.602209944751381,1.1049723756906078,10.220994475138122,0.0,100.0,26.519337016574585,0
ML391,the mighty quinn,manfred mann,20,8,12,6,4,14,15,7,2,13,0,180,28,152,11.11111111111111,4.444444444444445,6.666666666666667,3.3333333333333335,2.2222222222222223,7.777777777777778,8.333333333333334,3.888888888888889,1.1111111111111112,7.222222222222222,0.0,100.0,15.555555555555555,0
ML392,here comes the judge,shorty long,9,8,2,5,3,5,4,5,0,6,0,174,17,157,5.172413793103448,4.597701149425287,1.1494252873563218,2.8735632183908044,1.7241379310344827,2.8735632183908044,2.2988505747126435,2.8735632183908044,0.0,3.4482758620689653,0.0,100.0,9.770114942528735,0
ML393,i say a little prayer,aretha franklin,14,3,2,5,2,5,12,2,4,5,0,124,17,107,11.290322580645162,2.4193548387096775,1.6129032258064515,4.032258064516129,1.6129032258064515,4.032258064516129,9.67741935483871,1.6129032258064515,3.225806451612903,4.032258064516129,0.0,100.0,13.709677419354838,0
ML394,think,aretha franklin,20,2,2,2,2,4,17,2,2,13,0,181,22,159,11.049723756906078,1.1049723756906078,1.1049723756906078,1.1049723756906078,1.1049723756906078,2.2099447513812156,9.392265193370166,1.1049723756906078,1.1049723756906078,7.18232044198895,0.0,100.0,12.154696132596685,0
ML395,sealed with a kiss,gary lewis and the playboys,16,13,10,10,10,11,14,13,8,7,0,86,29,57,18.6046511627907,15.116279069767442,11.627906976744185,11.627906976744185,11.627906976744185,12.790697674418604,16.27906976744186,15.116279069767442,9.30232558139535,8.13953488372093,0.0,100.0,33.72093023255814,0
ML396,piece of my heart,big brother and the holding company,22,6,2,10,2,3,21,7,9,10,0,194,28,166,11.34020618556701,3.0927835051546393,1.0309278350515463,5.154639175257732,1.0309278350515463,1.5463917525773196,10.824742268041238,3.6082474226804124,4.639175257731959,5.154639175257732,0.0,100.0,14.43298969072165,0
ML397,suzie q,creedence clearwater revival,11,1,0,1,0,0,7,2,1,0,0,96,12,84,11.458333333333334,1.0416666666666667,0.0,1.0416666666666667,0.0,0.0,7.291666666666667,2.0833333333333335,1.0416666666666667,0.0,0.0,100.0,12.5,0
ML398,bend me shape me,the american breed,15,6,2,5,1,3,7,3,2,1,0,83,21,62,18.072289156626507,7.228915662650603,2.4096385542168677,6.024096385542169,1.2048192771084338,3.6144578313253013,8.433734939759036,3.6144578313253013,2.4096385542168677,1.2048192771084338,0.0,100.0,25.301204819277107,0
ML399,hey western union man,jerry butler,9,2,1,3,2,2,9,1,0,0,0,150,11,139,6.0,1.3333333333333333,0.6666666666666666,2.0,1.3333333333333333,1.3333333333333333,6.0,0.6666666666666666,0.0,0.0,0.0,100.0,7.333333333333333,0
ML400,never give you up,jerry butler,14,21,16,8,15,17,12,20,10,9,0,192,35,157,7.291666666666667,10.9375,8.333333333333334,4.166666666666667,7.8125,8.854166666666666,6.25,10.416666666666666,5.208333333333333,4.6875,0.0,100.0,18.229166666666668,0
ML401,sugar sugar,the archies,38,6,1,7,1,1,11,6,7,6,0,108,44,64,35.18518518518518,5.555555555555555,0.9259259259259259,6.481481481481482,0.9259259259259259,0.9259259259259259,10.185185185185185,5.555555555555555,6.481481481481482,5.555555555555555,0.0,100.0,40.74074074074074,0
ML402,aquariuslet the sunshine in,the 5th dimension,44,5,3,6,2,1,34,4,2,11,0,140,49,91,31.428571428571427,3.5714285714285716,2.142857142857143,4.285714285714286,1.4285714285714286,0.7142857142857143,24.285714285714285,2.857142857142857,1.4285714285714286,7.857142857142857,0.0,100.0,35.0,0
ML403,i cant get next to you,the temptations,7,4,2,5,2,4,3,6,1,2,0,163,11,152,4.294478527607362,2.4539877300613497,1.2269938650306749,3.067484662576687,1.2269938650306749,2.4539877300613497,1.8404907975460123,3.6809815950920246,0.6134969325153374,1.2269938650306749,0.0,100.0,6.748466257668712,0
ML404,honky tonk women,the rolling stones,2,5,1,0,1,5,1,4,0,2,0,70,7,63,2.857142857142857,7.142857142857143,1.4285714285714286,0.0,1.4285714285714286,7.142857142857143,1.4285714285714286,5.714285714285714,0.0,2.857142857142857,0.0,100.0,10.0,0
ML405,everyday people,sly  the family stone,4,8,2,5,3,5,3,7,0,2,0,95,12,83,4.2105263157894735,8.421052631578947,2.1052631578947367,5.2631578947368425,3.1578947368421053,5.2631578947368425,3.1578947368421053,7.368421052631579,0.0,2.1052631578947367,0.0,100.0,12.631578947368421,0
ML406,dizzy,tommy roe,6,14,0,5,1,4,2,0,2,4,0,112,20,92,5.357142857142857,12.5,0.0,4.464285714285714,0.8928571428571429,3.5714285714285716,1.7857142857142858,0.0,1.7857142857142858,3.5714285714285716,0.0,100.0,17.857142857142858,0
ML407,hot fun in the summertime,sly  the family stone,13,1,7,14,0,0,10,1,2,6,0,81,14,67,16.049382716049383,1.2345679012345678,8.641975308641975,17.28395061728395,0.0,0.0,12.345679012345679,1.2345679012345678,2.4691358024691357,7.407407407407407,0.0,100.0,17.28395061728395,0
ML408,ill never fall in love again,tom jones,16,17,1,4,1,2,16,16,1,0,0,98,33,65,16.3265306122449,17.346938775510203,1.0204081632653061,4.081632653061225,1.0204081632653061,2.0408163265306123,16.3265306122449,16.3265306122449,1.0204081632653061,0.0,0.0,100.0,33.673469387755105,0
ML409,build me up buttercup,the foundations,29,13,6,9,10,6,15,7,4,1,0,178,42,136,16.292134831460675,7.303370786516854,3.3707865168539324,5.056179775280899,5.617977528089888,3.3707865168539324,8.426966292134832,3.932584269662921,2.247191011235955,0.5617977528089888,0.0,100.0,23.59550561797753,0
ML410,crimson and clover,tommy james and the shondells,4,3,1,2,1,2,4,2,2,3,0,29,7,22,13.793103448275861,10.344827586206897,3.4482758620689653,6.896551724137931,3.4482758620689653,6.896551724137931,13.793103448275861,6.896551724137931,6.896551724137931,10.344827586206897,0.0,100.0,24.137931034482758,0
ML411,one,three dog night,2,2,1,3,1,2,2,2,2,2,0,112,4,108,1.7857142857142858,1.7857142857142858,0.8928571428571429,2.6785714285714284,0.8928571428571429,1.7857142857142858,1.7857142857142858,1.7857142857142858,1.7857142857142858,1.7857142857142858,0.0,100.0,3.5714285714285716,0
ML412,crystal blue persuasion,tommy james and the shondells,17,0,0,7,0,0,8,8,2,6,0,86,17,69,19.767441860465116,0.0,0.0,8.13953488372093,0.0,0.0,9.30232558139535,9.30232558139535,2.3255813953488373,6.976744186046512,0.0,100.0,19.767441860465116,0
ML413,hair,the cowsills,26,12,3,20,7,6,19,1,3,18,0,179,38,141,14.525139664804469,6.70391061452514,1.675977653631285,11.1731843575419,3.910614525139665,3.35195530726257,10.614525139664805,0.5586592178770949,1.675977653631285,10.05586592178771,0.0,100.0,21.22905027932961,0
ML414,too busy thinking about my baby,marvin gaye,11,0,1,16,0,0,9,0,2,6,0,116,11,105,9.482758620689655,0.0,0.8620689655172413,13.793103448275861,0.0,0.0,7.758620689655173,0.0,1.7241379310344827,5.172413793103448,0.0,100.0,9.482758620689655,0
ML415,love theme from romeo and juliet,henry mancini,15,7,7,11,3,8,12,3,7,8,0,66,22,44,22.727272727272727,10.606060606060606,10.606060606060606,16.666666666666668,4.545454545454546,12.121212121212121,18.181818181818183,4.545454545454546,10.606060606060606,12.121212121212121,0.0,100.0,33.333333333333336,0
ML416,get together,the youngbloods,15,5,2,5,0,4,12,4,4,10,0,85,20,65,17.647058823529413,5.882352941176471,2.3529411764705883,5.882352941176471,0.0,4.705882352941177,14.117647058823529,4.705882352941177,4.705882352941177,11.764705882352942,0.0,100.0,23.529411764705884,0
ML417,grazing in the grass,the friends of distinction,33,0,2,7,2,0,19,0,6,19,0,177,33,144,18.64406779661017,0.0,1.1299435028248588,3.9548022598870056,1.1299435028248588,0.0,10.734463276836157,0.0,3.389830508474576,10.734463276836157,0.0,100.0,18.64406779661017,0
ML418,suspicious minds,elvis presley,17,9,6,7,0,2,10,2,1,5,0,144,26,118,11.805555555555555,6.25,4.166666666666667,4.861111111111111,0.0,1.3888888888888888,6.944444444444445,1.3888888888888888,0.6944444444444444,3.4722222222222223,0.0,100.0,18.055555555555557,0
ML419,proud mary,creedence clearwater revival,8,3,2,8,0,1,7,2,3,7,0,108,11,97,7.407407407407407,2.7777777777777777,1.8518518518518519,7.407407407407407,0.0,0.9259259259259259,6.481481481481482,1.8518518518518519,2.7777777777777777,6.481481481481482,0.0,100.0,10.185185185185185,0
ML421,its your thing,the isley brothers,4,12,2,1,2,12,4,12,2,2,0,108,16,92,3.7037037037037037,11.11111111111111,1.8518518518518519,0.9259259259259259,1.8518518518518519,11.11111111111111,3.7037037037037037,11.11111111111111,1.8518518518518519,1.8518518518518519,0.0,100.0,14.814814814814815,0
ML422,sweet caroline,neil diamond,12,4,4,14,1,4,10,4,10,12,0,85,16,69,14.117647058823529,4.705882352941177,4.705882352941177,16.470588235294116,1.1764705882352942,4.705882352941177,11.764705882352942,4.705882352941177,11.764705882352942,14.117647058823529,0.0,100.0,18.823529411764707,0
ML423,jean,oliver,10,3,1,7,1,2,7,2,3,7,0,91,13,78,10.989010989010989,3.2967032967032965,1.098901098901099,7.6923076923076925,1.098901098901099,2.197802197802198,7.6923076923076925,2.197802197802198,3.2967032967032965,7.6923076923076925,0.0,100.0,14.285714285714286,0
ML424,bad moon rising,creedence clearwater revival,2,16,10,4,7,11,1,9,2,2,0,89,18,71,2.247191011235955,17.97752808988764,11.235955056179776,4.49438202247191,7.865168539325842,12.359550561797754,1.1235955056179776,10.112359550561798,2.247191011235955,2.247191011235955,0.0,100.0,20.224719101123597,0
ML425,get back,the beatles with billy preston,2,1,0,5,0,0,2,1,1,2,0,116,3,113,1.7241379310344827,0.8620689655172413,0.0,4.310344827586207,0.0,0.0,1.7241379310344827,0.8620689655172413,0.8620689655172413,1.7241379310344827,0.0,100.0,2.586206896551724,0
ML426,in the year 2525,zager  evans,13,5,4,11,3,5,7,4,1,8,0,140,18,122,9.285714285714286,3.5714285714285716,2.857142857142857,7.857142857142857,2.142857142857143,3.5714285714285716,5.0,2.857142857142857,0.7142857142857143,5.714285714285714,0.0,100.0,12.857142857142858,0
ML427,spinning wheel,blood sweat  tears,4,3,4,1,1,1,1,1,1,3,0,62,7,55,6.451612903225806,4.838709677419355,6.451612903225806,1.6129032258064515,1.6129032258064515,1.6129032258064515,1.6129032258064515,1.6129032258064515,1.6129032258064515,4.838709677419355,0.0,100.0,11.290322580645162,0
ML428,baby i love you,andy kim,31,4,0,6,0,0,30,1,1,2,0,87,35,52,35.632183908045974,4.597701149425287,0.0,6.896551724137931,0.0,0.0,34.48275862068966,1.1494252873563218,1.1494252873563218,2.2988505747126435,0.0,100.0,40.229885057471265,0
ML429,going in circles,the friends of distinction,19,3,0,5,1,3,14,1,3,7,0,117,22,95,16.23931623931624,2.5641025641025643,0.0,4.273504273504273,0.8547008547008547,2.5641025641025643,11.965811965811966,0.8547008547008547,2.5641025641025643,5.982905982905983,0.0,100.0,18.803418803418804,0
ML430,hurt so bad,the lettermen,4,23,22,0,12,22,2,22,0,0,0,94,27,67,4.25531914893617,24.46808510638298,23.404255319148938,0.0,12.76595744680851,23.404255319148938,2.127659574468085,23.404255319148938,0.0,0.0,0.0,100.0,28.72340425531915,0
ML431,green river,creedence clearwater revival,11,6,2,2,1,1,6,2,1,4,0,83,17,66,13.25301204819277,7.228915662650603,2.4096385542168677,2.4096385542168677,1.2048192771084338,1.2048192771084338,7.228915662650603,2.4096385542168677,1.2048192771084338,4.819277108433735,0.0,100.0,20.481927710843372,0
ML432,my cherie amour,stevie wonder,13,2,1,12,1,1,12,2,2,12,0,126,15,111,10.317460317460318,1.5873015873015872,0.7936507936507936,9.523809523809524,0.7936507936507936,0.7936507936507936,9.523809523809524,1.5873015873015872,1.5873015873015872,9.523809523809524,0.0,100.0,11.904761904761905,0
ML433,easy to be hard,three dog night,7,15,7,4,5,7,7,8,1,7,0,81,22,59,8.641975308641975,18.51851851851852,8.641975308641975,4.938271604938271,6.172839506172839,8.641975308641975,8.641975308641975,9.876543209876543,1.2345679012345678,8.641975308641975,0.0,100.0,27.160493827160494,0
ML434,baby its you,smith,14,5,2,0,0,0,14,2,2,1,0,81,19,62,17.28395061728395,6.172839506172839,2.4691358024691357,0.0,0.0,0.0,17.28395061728395,2.4691358024691357,2.4691358024691357,1.2345679012345678,0.0,100.0,23.45679012345679,0
ML435,in the ghetto,elvis presley,10,25,8,11,15,14,10,15,6,1,0,123,35,88,8.130081300813009,20.32520325203252,6.504065040650406,8.94308943089431,12.195121951219512,11.382113821138212,8.130081300813009,12.195121951219512,4.878048780487805,0.8130081300813008,0.0,100.0,28.45528455284553,0
ML436,a boy named sue,johnny cash,12,33,18,6,13,19,8,15,6,3,0,313,45,268,3.8338658146964857,10.543130990415335,5.7507987220447285,1.9169329073482428,4.15335463258786,6.0702875399361025,2.5559105431309903,4.792332268370607,1.9169329073482428,0.9584664536741214,0.0,100.0,14.37699680511182,0
ML438,only the strong survive,jerry butler,11,3,1,4,0,2,5,1,2,2,0,139,14,125,7.913669064748201,2.158273381294964,0.7194244604316546,2.8776978417266186,0.0,1.4388489208633093,3.597122302158273,0.7194244604316546,1.4388489208633093,1.4388489208633093,0.0,100.0,10.071942446043165,0
ML439,time of the season,the zombies,3,0,0,8,0,0,3,0,1,5,0,58,3,55,5.172413793103448,0.0,0.0,13.793103448275861,0.0,0.0,5.172413793103448,0.0,1.7241379310344827,8.620689655172415,0.0,100.0,5.172413793103448,0
ML440,wedding bell blues,the 5th dimension,15,7,2,11,2,11,15,6,7,9,0,105,22,83,14.285714285714286,6.666666666666667,1.9047619047619047,10.476190476190476,1.9047619047619047,10.476190476190476,14.285714285714286,5.714285714285714,6.666666666666667,8.571428571428571,0.0,100.0,20.952380952380953,0
ML441,little woman,bobby sherman,3,9,1,2,1,2,1,9,7,1,0,120,12,108,2.5,7.5,0.8333333333333334,1.6666666666666667,0.8333333333333334,1.6666666666666667,0.8333333333333334,7.5,5.833333333333333,0.8333333333333334,0.0,100.0,10.0,0
ML442,love can make you happy,mercy,26,1,1,11,1,0,24,0,0,13,0,74,27,47,35.13513513513514,1.3513513513513513,1.3513513513513513,14.864864864864865,1.3513513513513513,0.0,32.432432432432435,0.0,0.0,17.56756756756757,0.0,100.0,36.486486486486484,0
ML443,good morning starshine,oliver,21,0,0,11,0,0,15,8,1,10,0,112,21,91,18.75,0.0,0.0,9.821428571428571,0.0,0.0,13.392857142857142,7.142857142857143,0.8928571428571429,8.928571428571429,0.0,100.0,18.75,0
ML444,these eyes,the guess who,13,7,0,3,0,2,13,4,0,2,0,147,20,127,8.843537414965986,4.761904761904762,0.0,2.0408163265306123,0.0,1.3605442176870748,8.843537414965986,2.7210884353741496,0.0,1.3605442176870748,0.0,100.0,13.605442176870747,0
ML445,youve made me so very happy,blood sweat  tears,18,7,2,9,2,4,18,5,1,6,0,93,25,68,19.35483870967742,7.526881720430108,2.150537634408602,9.67741935483871,2.150537634408602,4.301075268817204,19.35483870967742,5.376344086021505,1.075268817204301,6.451612903225806,0.0,100.0,26.881720430107528,0
ML446,put a little love in your heart,jackie deshannon,18,9,1,11,1,1,15,3,2,5,0,116,27,89,15.517241379310345,7.758620689655173,0.8620689655172413,9.482758620689655,0.8620689655172413,0.8620689655172413,12.931034482758621,2.586206896551724,1.7241379310344827,4.310344827586207,0.0,100.0,23.275862068965516,0
ML447,do your thing,the watts 103rd street rhythm band,8,2,0,0,2,2,3,0,0,2,0,61,10,51,13.114754098360656,3.278688524590164,0.0,0.0,3.278688524590164,3.278688524590164,4.918032786885246,0.0,0.0,3.278688524590164,0.0,100.0,16.39344262295082,0
ML448,id wait a million years,the grass roots,18,15,2,12,2,12,14,8,3,0,0,115,33,82,15.652173913043478,13.043478260869565,1.7391304347826086,10.434782608695652,1.7391304347826086,10.434782608695652,12.173913043478262,6.956521739130435,2.608695652173913,0.0,0.0,100.0,28.695652173913043,0
ML449,touch me,the doors,17,5,0,2,0,2,14,3,0,6,0,80,22,58,21.25,6.25,0.0,2.5,0.0,2.5,17.5,3.75,0.0,7.5,0.0,100.0,27.5,0
ML450,more today than yesterday,spiral starecase,9,4,2,7,3,2,8,3,1,3,0,72,13,59,12.5,5.555555555555555,2.7777777777777777,9.722222222222221,4.166666666666667,2.7777777777777777,11.11111111111111,4.166666666666667,1.3888888888888888,4.166666666666667,0.0,100.0,18.055555555555557,0
ML451,ive gotta be me,sammy davis jr,4,2,0,6,0,1,2,1,1,1,0,77,6,71,5.194805194805195,2.5974025974025974,0.0,7.792207792207792,0.0,1.2987012987012987,2.5974025974025974,1.2987012987012987,1.2987012987012987,1.2987012987012987,0.0,100.0,7.792207792207792,0
ML452,lay lady lay,bob dylan,7,5,3,3,2,2,4,3,4,5,0,96,12,84,7.291666666666667,5.208333333333333,3.125,3.125,2.0833333333333335,2.0833333333333335,4.166666666666667,3.125,4.166666666666667,5.208333333333333,0.0,100.0,12.5,0
